date,sku,qty
2024-02-01,115-182 ARBOL,1
2024-03-01,115-182 ARBOL,0
2024-04-01,115-182 ARBOL,0
2024-05-01,115-182 ARBOL,0
2024-06-01,115-182 ARBOL,0
2024-07-01,115-182 ARBOL,0
2024-08-01,115-182 ARBOL,6
2024-09-01,115-182 ARBOL,1
2024-10-01,115-182 ARBOL,3
2024-11-01,115-182 ARBOL,11
2024-12-01,115-182 ARBOL,0
2025-01-01,115-182 ARBOL,0
2023-01-01,115-260 VENADO,0
2023-02-01,115-260 VENADO,0
2023-03-01,115-260 VENADO,0
2023-04-01,115-260 VENADO,0
2023-05-01,115-260 VENADO,0
2023-06-01,115-260 VENADO,0
2023-07-01,115-260 VENADO,0
2023-08-01,115-260 VENADO,0
2023-09-01,115-260 VENADO,0
2023-10-01,115-260 VENADO,0
2023-11-01,115-260 VENADO,5
2023-12-01,115-260 VENADO,3
2024-01-01,115-260 VENADO,1
2024-02-01,115-260 VENADO,0
2024-03-01,115-260 VENADO,0
2024-04-01,115-260 VENADO,0
2024-05-01,115-260 VENADO,0
2024-06-01,115-260 VENADO,1
2024-07-01,115-260 VENADO,0
2024-08-01,115-260 VENADO,0
2024-09-01,115-260 VENADO,4
2024-10-01,115-260 VENADO,2
2024-11-01,115-260 VENADO,4
2024-12-01,115-260 VENADO,0
2025-01-01,115-260 VENADO,0
2023-01-01,115-279 CORONA,0
2023-02-01,115-279 CORONA,0
2023-03-01,115-279 CORONA,0
2023-04-01,115-279 CORONA,0
2023-05-01,115-279 CORONA,0
2023-06-01,115-279 CORONA,0
2023-07-01,115-279 CORONA,0
2023-08-01,115-279 CORONA,0
2023-09-01,115-279 CORONA,0
2023-10-01,115-279 CORONA,0
2023-11-01,115-279 CORONA,0
2023-12-01,115-279 CORONA,0
2024-01-01,115-279 CORONA,0
2024-02-01,115-279 CORONA,0
2024-03-01,115-279 CORONA,0
2024-04-01,115-279 CORONA,1
2024-05-01,115-279 CORONA,6
2024-06-01,115-279 CORONA,5
2024-07-01,115-279 CORONA,0
2024-08-01,115-279 CORONA,1
2024-09-01,115-279 CORONA,1
2024-10-01,115-279 CORONA,0
2024-11-01,115-279 CORONA,0
2024-12-01,115-279 CORONA,0
2025-01-01,115-279 CORONA,0
2023-01-01,120-106 MUERDAGO,0
2023-02-01,120-106 MUERDAGO,0
2023-03-01,120-106 MUERDAGO,0
2023-04-01,120-106 MUERDAGO,0
2023-05-01,120-106 MUERDAGO,0
2023-06-01,120-106 MUERDAGO,0
2023-07-01,120-106 MUERDAGO,0
2023-08-01,120-106 MUERDAGO,0
2023-09-01,120-106 MUERDAGO,0
2023-10-01,120-106 MUERDAGO,0
2023-11-01,120-106 MUERDAGO,10
2023-12-01,120-106 MUERDAGO,2
2024-01-01,120-106 MUERDAGO,0
2024-02-01,120-106 MUERDAGO,0
2024-03-01,120-106 MUERDAGO,0
2024-04-01,120-106 MUERDAGO,1
2024-05-01,120-106 MUERDAGO,1
2024-06-01,120-106 MUERDAGO,0
2024-07-01,120-106 MUERDAGO,0
2024-08-01,120-106 MUERDAGO,0
2024-09-01,120-106 MUERDAGO,3
2024-10-01,120-106 MUERDAGO,3
2024-11-01,120-106 MUERDAGO,3
2024-12-01,120-106 MUERDAGO,1
2025-01-01,120-106 MUERDAGO,0
2023-01-01,120-228 ANGEL,0
2023-02-01,120-228 ANGEL,0
2023-03-01,120-228 ANGEL,0
2023-04-01,120-228 ANGEL,0
2023-05-01,120-228 ANGEL,0
2023-06-01,120-228 ANGEL,0
2023-07-01,120-228 ANGEL,0
2023-08-01,120-228 ANGEL,0
2023-09-01,120-228 ANGEL,0
2023-10-01,120-228 ANGEL,0
2023-11-01,120-228 ANGEL,6
2023-12-01,120-228 ANGEL,2
2024-01-01,120-228 ANGEL,0
2024-02-01,120-228 ANGEL,1
2024-03-01,120-228 ANGEL,0
2024-04-01,120-228 ANGEL,2
2024-05-01,120-228 ANGEL,1
2024-06-01,120-228 ANGEL,1
2024-07-01,120-228 ANGEL,1
2024-08-01,120-228 ANGEL,2
2024-09-01,120-228 ANGEL,3
2024-10-01,120-228 ANGEL,1
2024-11-01,120-228 ANGEL,2
2024-12-01,120-228 ANGEL,1
2025-01-01,120-228 ANGEL,0
2023-01-01,120-256 MARIPOSA,0
2023-02-01,120-256 MARIPOSA,0
2023-03-01,120-256 MARIPOSA,0
2023-04-01,120-256 MARIPOSA,0
2023-05-01,120-256 MARIPOSA,0
2023-06-01,120-256 MARIPOSA,0
2023-07-01,120-256 MARIPOSA,0
2023-08-01,120-256 MARIPOSA,0
2023-09-01,120-256 MARIPOSA,0
2023-10-01,120-256 MARIPOSA,0
2023-11-01,120-256 MARIPOSA,3
2023-12-01,120-256 MARIPOSA,4
2024-01-01,120-256 MARIPOSA,2
2024-02-01,120-256 MARIPOSA,4
2024-03-01,120-256 MARIPOSA,1
2024-04-01,120-256 MARIPOSA,0
2024-05-01,120-256 MARIPOSA,8
2024-06-01,120-256 MARIPOSA,3
2024-07-01,120-256 MARIPOSA,4
2024-08-01,120-256 MARIPOSA,1
2024-09-01,120-256 MARIPOSA,8
2024-10-01,120-256 MARIPOSA,7
2024-11-01,120-256 MARIPOSA,7
2024-12-01,120-256 MARIPOSA,0
2025-01-01,120-256 MARIPOSA,0
2023-01-01,120-260 VENADO,0
2023-02-01,120-260 VENADO,0
2023-03-01,120-260 VENADO,0
2023-04-01,120-260 VENADO,0
2023-05-01,120-260 VENADO,0
2023-06-01,120-260 VENADO,0
2023-07-01,120-260 VENADO,0
2023-08-01,120-260 VENADO,0
2023-09-01,120-260 VENADO,0
2023-10-01,120-260 VENADO,0
2023-11-01,120-260 VENADO,7
2023-12-01,120-260 VENADO,5
2024-01-01,120-260 VENADO,0
2024-02-01,120-260 VENADO,0
2024-03-01,120-260 VENADO,0
2024-04-01,120-260 VENADO,1
2024-05-01,120-260 VENADO,0
2024-06-01,120-260 VENADO,0
2024-07-01,120-260 VENADO,2
2024-08-01,120-260 VENADO,0
2024-09-01,120-260 VENADO,2
2024-10-01,120-260 VENADO,2
2024-11-01,120-260 VENADO,7
2024-12-01,120-260 VENADO,0
2025-01-01,120-260 VENADO,0
2023-01-01,120-320 BIGOTE,0
2023-02-01,120-320 BIGOTE,0
2023-03-01,120-320 BIGOTE,0
2023-04-01,120-320 BIGOTE,0
2023-05-01,120-320 BIGOTE,0
2023-06-01,120-320 BIGOTE,0
2023-07-01,120-320 BIGOTE,0
2023-08-01,120-320 BIGOTE,0
2023-09-01,120-320 BIGOTE,0
2023-10-01,120-320 BIGOTE,0
2023-11-01,120-320 BIGOTE,3
2023-12-01,120-320 BIGOTE,3
2024-01-01,120-320 BIGOTE,4
2024-02-01,120-320 BIGOTE,0
2024-03-01,120-320 BIGOTE,0
2024-04-01,120-320 BIGOTE,7
2024-05-01,120-320 BIGOTE,13
2024-06-01,120-320 BIGOTE,33
2024-07-01,120-320 BIGOTE,5
2024-08-01,120-320 BIGOTE,2
2024-09-01,120-320 BIGOTE,1
2024-10-01,120-320 BIGOTE,0
2024-11-01,120-320 BIGOTE,1
2024-12-01,120-320 BIGOTE,0
2025-01-01,120-320 BIGOTE,0
2023-01-01,120-329 RAMITA,0
2023-02-01,120-329 RAMITA,0
2023-03-01,120-329 RAMITA,0
2023-04-01,120-329 RAMITA,0
2023-05-01,120-329 RAMITA,0
2023-06-01,120-329 RAMITA,0
2023-07-01,120-329 RAMITA,0
2023-08-01,120-329 RAMITA,0
2023-09-01,120-329 RAMITA,0
2023-10-01,120-329 RAMITA,0
2023-11-01,120-329 RAMITA,8
2023-12-01,120-329 RAMITA,4
2024-01-01,120-329 RAMITA,1
2024-02-01,120-329 RAMITA,0
2024-03-01,120-329 RAMITA,3
2024-04-01,120-329 RAMITA,13
2024-05-01,120-329 RAMITA,18
2024-06-01,120-329 RAMITA,0
2024-07-01,120-329 RAMITA,0
2024-08-01,120-329 RAMITA,1
2024-09-01,120-329 RAMITA,0
2024-10-01,120-329 RAMITA,0
2024-11-01,120-329 RAMITA,0
2024-12-01,120-329 RAMITA,0
2025-01-01,120-329 RAMITA,0
2023-01-01,120-517 VESTIDO,0
2023-02-01,120-517 VESTIDO,0
2023-03-01,120-517 VESTIDO,0
2023-04-01,120-517 VESTIDO,0
2023-05-01,120-517 VESTIDO,0
2023-06-01,120-517 VESTIDO,0
2023-07-01,120-517 VESTIDO,0
2023-08-01,120-517 VESTIDO,0
2023-09-01,120-517 VESTIDO,0
2023-10-01,120-517 VESTIDO,0
2023-11-01,120-517 VESTIDO,3
2023-12-01,120-517 VESTIDO,0
2024-01-01,120-517 VESTIDO,1
2024-02-01,120-517 VESTIDO,0
2024-03-01,120-517 VESTIDO,0
2024-04-01,120-517 VESTIDO,2
2024-05-01,120-517 VESTIDO,0
2024-06-01,120-517 VESTIDO,1
2024-07-01,120-517 VESTIDO,0
2024-08-01,120-517 VESTIDO,0
2024-09-01,120-517 VESTIDO,1
2024-10-01,120-517 VESTIDO,0
2024-11-01,120-517 VESTIDO,0
2024-12-01,120-517 VESTIDO,0
2025-01-01,120-517 VESTIDO,0
2023-01-01,130-023 CORAZON,0
2023-02-01,130-023 CORAZON,0
2023-03-01,130-023 CORAZON,0
2023-04-01,130-023 CORAZON,0
2023-05-01,130-023 CORAZON,0
2023-06-01,130-023 CORAZON,0
2023-07-01,130-023 CORAZON,0
2023-08-01,130-023 CORAZON,0
2023-09-01,130-023 CORAZON,0
2023-10-01,130-023 CORAZON,0
2023-11-01,130-023 CORAZON,0
2023-12-01,130-023 CORAZON,2
2024-01-01,130-023 CORAZON,4
2024-02-01,130-023 CORAZON,3
2024-03-01,130-023 CORAZON,9
2024-04-01,130-023 CORAZON,21
2024-05-01,130-023 CORAZON,28
2024-06-01,130-023 CORAZON,4
2024-07-01,130-023 CORAZON,0
2024-08-01,130-023 CORAZON,1
2024-09-01,130-023 CORAZON,0
2024-10-01,130-023 CORAZON,0
2024-11-01,130-023 CORAZON,0
2024-12-01,130-023 CORAZON,0
2025-01-01,130-023 CORAZON,0
2023-01-01,130-175 MUERDAGO,0
2023-02-01,130-175 MUERDAGO,0
2023-03-01,130-175 MUERDAGO,0
2023-04-01,130-175 MUERDAGO,0
2023-05-01,130-175 MUERDAGO,0
2023-06-01,130-175 MUERDAGO,0
2023-07-01,130-175 MUERDAGO,0
2023-08-01,130-175 MUERDAGO,0
2023-09-01,130-175 MUERDAGO,0
2023-10-01,130-175 MUERDAGO,0
2023-11-01,130-175 MUERDAGO,11
2023-12-01,130-175 MUERDAGO,4
2024-01-01,130-175 MUERDAGO,3
2024-02-01,130-175 MUERDAGO,1
2024-03-01,130-175 MUERDAGO,0
2024-04-01,130-175 MUERDAGO,1
2024-05-01,130-175 MUERDAGO,3
2024-06-01,130-175 MUERDAGO,0
2024-07-01,130-175 MUERDAGO,0
2024-08-01,130-175 MUERDAGO,1
2024-09-01,130-175 MUERDAGO,3
2024-10-01,130-175 MUERDAGO,1
2024-11-01,130-175 MUERDAGO,16
2024-12-01,130-175 MUERDAGO,6
2025-01-01,130-175 MUERDAGO,0
2023-01-01,130-256 MARIPOSA,0
2023-02-01,130-256 MARIPOSA,0
2023-03-01,130-256 MARIPOSA,0
2023-04-01,130-256 MARIPOSA,0
2023-05-01,130-256 MARIPOSA,0
2023-06-01,130-256 MARIPOSA,0
2023-07-01,130-256 MARIPOSA,0
2023-08-01,130-256 MARIPOSA,0
2023-09-01,130-256 MARIPOSA,0
2023-10-01,130-256 MARIPOSA,0
2023-11-01,130-256 MARIPOSA,5
2023-12-01,130-256 MARIPOSA,3
2024-01-01,130-256 MARIPOSA,7
2024-02-01,130-256 MARIPOSA,8
2024-03-01,130-256 MARIPOSA,3
2024-04-01,130-256 MARIPOSA,16
2024-05-01,130-256 MARIPOSA,25
2024-06-01,130-256 MARIPOSA,0
2024-07-01,130-256 MARIPOSA,0
2024-08-01,130-256 MARIPOSA,0
2024-09-01,130-256 MARIPOSA,0
2024-10-01,130-256 MARIPOSA,0
2024-11-01,130-256 MARIPOSA,2
2024-12-01,130-256 MARIPOSA,0
2025-01-01,130-256 MARIPOSA,0
2023-01-01,510 PERFORADOR DE REFUERZO,6
2023-02-01,510 PERFORADOR DE REFUERZO,6
2023-03-01,510 PERFORADOR DE REFUERZO,9
2023-04-01,510 PERFORADOR DE REFUERZO,3
2023-05-01,510 PERFORADOR DE REFUERZO,3
2023-06-01,510 PERFORADOR DE REFUERZO,4
2023-07-01,510 PERFORADOR DE REFUERZO,5
2023-08-01,510 PERFORADOR DE REFUERZO,4
2023-09-01,510 PERFORADOR DE REFUERZO,23
2023-10-01,510 PERFORADOR DE REFUERZO,17
2023-11-01,510 PERFORADOR DE REFUERZO,16
2023-12-01,510 PERFORADOR DE REFUERZO,9
2024-01-01,510 PERFORADOR DE REFUERZO,6
2024-02-01,510 PERFORADOR DE REFUERZO,3
2024-03-01,510 PERFORADOR DE REFUERZO,12
2024-04-01,510 PERFORADOR DE REFUERZO,8
2024-05-01,510 PERFORADOR DE REFUERZO,4
2024-06-01,510 PERFORADOR DE REFUERZO,5
2024-07-01,510 PERFORADOR DE REFUERZO,1
2024-08-01,510 PERFORADOR DE REFUERZO,2
2024-09-01,510 PERFORADOR DE REFUERZO,2
2024-10-01,510 PERFORADOR DE REFUERZO,0
2024-11-01,510 PERFORADOR DE REFUERZO,1
2024-12-01,510 PERFORADOR DE REFUERZO,5
2025-01-01,510 PERFORADOR DE REFUERZO,0
2023-01-01,5805 CIRCULO,0
2023-02-01,5805 CIRCULO,0
2023-03-01,5805 CIRCULO,0
2023-04-01,5805 CIRCULO,0
2023-05-01,5805 CIRCULO,0
2023-06-01,5805 CIRCULO,0
2023-07-01,5805 CIRCULO,0
2023-08-01,5805 CIRCULO,0
2023-09-01,5805 CIRCULO,0
2023-10-01,5805 CIRCULO,8
2023-11-01,5805 CIRCULO,9
2023-12-01,5805 CIRCULO,8
2024-01-01,5805 CIRCULO,2
2024-02-01,5805 CIRCULO,8
2024-03-01,5805 CIRCULO,26
2024-04-01,5805 CIRCULO,25
2024-05-01,5805 CIRCULO,51
2024-06-01,5805 CIRCULO,35
2024-07-01,5805 CIRCULO,5
2024-08-01,5805 CIRCULO,3
2024-09-01,5805 CIRCULO,7
2024-10-01,5805 CIRCULO,3
2024-11-01,5805 CIRCULO,1
2024-12-01,5805 CIRCULO,0
2025-01-01,5805 CIRCULO,0
2023-01-01,5810  LLAVERO CARA FELIZ,0
2023-02-01,5810  LLAVERO CARA FELIZ,0
2023-03-01,5810  LLAVERO CARA FELIZ,0
2023-04-01,5810  LLAVERO CARA FELIZ,0
2023-05-01,5810  LLAVERO CARA FELIZ,0
2023-06-01,5810  LLAVERO CARA FELIZ,0
2023-07-01,5810  LLAVERO CARA FELIZ,0
2023-08-01,5810  LLAVERO CARA FELIZ,0
2023-09-01,5810  LLAVERO CARA FELIZ,0
2023-10-01,5810  LLAVERO CARA FELIZ,0
2023-11-01,5810  LLAVERO CARA FELIZ,0
2023-12-01,5810  LLAVERO CARA FELIZ,0
2024-01-01,5810  LLAVERO CARA FELIZ,0
2024-02-01,5810  LLAVERO CARA FELIZ,0
2024-03-01,5810  LLAVERO CARA FELIZ,0
2024-04-01,5810  LLAVERO CARA FELIZ,0
2024-05-01,5810  LLAVERO CARA FELIZ,0
2024-06-01,5810  LLAVERO CARA FELIZ,30
2024-07-01,5810  LLAVERO CARA FELIZ,42
2024-08-01,5810  LLAVERO CARA FELIZ,72
2024-09-01,5810  LLAVERO CARA FELIZ,0
2024-10-01,5810  LLAVERO CARA FELIZ,0
2024-11-01,5810  LLAVERO CARA FELIZ,31
2024-12-01,5810  LLAVERO CARA FELIZ,30
2025-01-01,5810  LLAVERO CARA FELIZ,0
2023-01-01,5810 ARETE,0
2023-02-01,5810 ARETE,0
2023-03-01,5810 ARETE,0
2023-04-01,5810 ARETE,0
2023-05-01,5810 ARETE,0
2023-06-01,5810 ARETE,0
2023-07-01,5810 ARETE,0
2023-08-01,5810 ARETE,0
2023-09-01,5810 ARETE,0
2023-10-01,5810 ARETE,0
2023-11-01,5810 ARETE,0
2023-12-01,5810 ARETE,0
2024-01-01,5810 ARETE,0
2024-02-01,5810 ARETE,0
2024-03-01,5810 ARETE,0
2024-04-01,5810 ARETE,0
2024-05-01,5810 ARETE,0
2024-06-01,5810 ARETE,0
2024-07-01,5810 ARETE,32
2024-08-01,5810 ARETE,14
2024-09-01,5810 ARETE,9
2024-10-01,5810 ARETE,6
2024-11-01,5810 ARETE,1
2024-12-01,5810 ARETE,5
2025-01-01,5810 ARETE,0
2023-01-01,5810 COPO,0
2023-02-01,5810 COPO,0
2023-03-01,5810 COPO,0
2023-04-01,5810 COPO,0
2023-05-01,5810 COPO,0
2023-06-01,5810 COPO,0
2023-07-01,5810 COPO,0
2023-08-01,5810 COPO,0
2023-09-01,5810 COPO,0
2023-10-01,5810 COPO,10
2023-11-01,5810 COPO,22
2023-12-01,5810 COPO,40
2024-01-01,5810 COPO,0
2024-02-01,5810 COPO,0
2024-03-01,5810 COPO,0
2024-04-01,5810 COPO,0
2024-05-01,5810 COPO,0
2024-06-01,5810 COPO,0
2024-07-01,5810 COPO,0
2024-08-01,5810 COPO,0
2024-09-01,5810 COPO,0
2024-10-01,5810 COPO,0
2024-11-01,5810 COPO,0
2024-12-01,5810 COPO,0
2025-01-01,5810 COPO,0
2023-01-01,5810 CORAZON,0
2023-02-01,5810 CORAZON,0
2023-03-01,5810 CORAZON,0
2023-04-01,5810 CORAZON,0
2023-05-01,5810 CORAZON,0
2023-06-01,5810 CORAZON,0
2023-07-01,5810 CORAZON,0
2023-08-01,5810 CORAZON,0
2023-09-01,5810 CORAZON,0
2023-10-01,5810 CORAZON,0
2023-11-01,5810 CORAZON,3
2023-12-01,5810 CORAZON,1
2024-01-01,5810 CORAZON,6
2024-02-01,5810 CORAZON,14
2024-03-01,5810 CORAZON,10
2024-04-01,5810 CORAZON,35
2024-05-01,5810 CORAZON,0
2024-06-01,5810 CORAZON,0
2024-07-01,5810 CORAZON,0
2024-08-01,5810 CORAZON,0
2024-09-01,5810 CORAZON,0
2024-10-01,5810 CORAZON,0
2024-11-01,5810 CORAZON,0
2024-12-01,5810 CORAZON,0
2025-01-01,5810 CORAZON,0
2023-01-01,5810 ESTRELLA,0
2023-02-01,5810 ESTRELLA,0
2023-03-01,5810 ESTRELLA,0
2023-04-01,5810 ESTRELLA,0
2023-05-01,5810 ESTRELLA,0
2023-06-01,5810 ESTRELLA,0
2023-07-01,5810 ESTRELLA,0
2023-08-01,5810 ESTRELLA,0
2023-09-01,5810 ESTRELLA,0
2023-10-01,5810 ESTRELLA,2
2023-11-01,5810 ESTRELLA,6
2023-12-01,5810 ESTRELLA,16
2024-01-01,5810 ESTRELLA,5
2024-02-01,5810 ESTRELLA,10
2024-03-01,5810 ESTRELLA,6
2024-04-01,5810 ESTRELLA,22
2024-05-01,5810 ESTRELLA,5
2024-06-01,5810 ESTRELLA,0
2024-07-01,5810 ESTRELLA,0
2024-08-01,5810 ESTRELLA,0
2024-09-01,5810 ESTRELLA,0
2024-10-01,5810 ESTRELLA,0
2024-11-01,5810 ESTRELLA,0
2024-12-01,5810 ESTRELLA,0
2025-01-01,5810 ESTRELLA,0
2023-01-01,5810 MARGARITA X 8,0
2023-02-01,5810 MARGARITA X 8,0
2023-03-01,5810 MARGARITA X 8,0
2023-04-01,5810 MARGARITA X 8,0
2023-05-01,5810 MARGARITA X 8,0
2023-06-01,5810 MARGARITA X 8,0
2023-07-01,5810 MARGARITA X 8,0
2023-08-01,5810 MARGARITA X 8,0
2023-09-01,5810 MARGARITA X 8,0
2023-10-01,5810 MARGARITA X 8,1
